id;createdat;updatedat;isroot;position;isprivate;filters
1;2021-10-25T07:52:52;2021-10-24T23:19:55;false;36146;false;aggregate
2;2021-10-24T22:29:57;2021-10-25T12:06:28;true;73644;true;turn-key
3;2021-10-24T23:59:56;2021-10-24T18:02:31;true;30397;true;didactic Virginia
4;2021-10-25T17:33:21;2021-10-25T12:05:09;false;60182;true;Hawaii Springs
5;2021-10-25T15:02:41;2021-10-25T13:58:28;false;61467;true;magenta multimedia
6;2021-10-25T00:56:45;2021-10-25T04:43:24;true;82306;false;Chicken SSL
7;2021-10-25T06:01:37;2021-10-25T11:27:49;false;45209;false;generating
8;2021-10-25T10:49:03;2021-10-24T20:09:11;false;86045;false;Dynamic Incredible primary
9;2021-10-25T17:51:54;2021-10-25T02:22:37;false;34630;true;Vermont infrastructure logistical
10;2021-10-24T18:09:51;2021-10-25T02:32:57;true;96665;true;Baby
